time, is_on, temperature
2024-07-26 16:00:57.399818, True, 26.5
2024-07-26 16:01:57.556640, True, 26.5
2024-07-26 16:02:02.616808, True, 26.5
2024-07-26 16:03:02.774061, True, 26.5
2024-07-26 16:03:07.837345, True, 26.5
2024-07-26 16:04:07.987525, True, 26.5
2024-07-26 16:04:13.048243, True, 26.5
2024-07-26 16:05:13.199059, True, 26.6
2024-07-26 16:05:18.267053, True, 26.6
2024-07-26 16:06:18.417038, True, 26.5
2024-07-26 16:06:23.492858, True, 26.5
2024-07-26 16:07:23.646442, True, 26.5
2024-07-26 16:07:28.708631, True, 26.7
2024-07-26 16:08:28.863152, True, 26.6
2024-07-26 16:08:33.925612, True, 26.7
2024-07-26 16:09:34.076772, True, 26.6
2024-07-26 16:09:39.137031, True, 26.6
2024-07-26 16:10:39.301463, True, 26.7
2024-07-26 16:10:44.366139, True, 26.7
2024-07-26 16:11:44.536692, True, 26.7
2024-07-26 16:11:49.597122, True, 26.7
2024-07-26 16:12:49.754815, True, 26.7
2024-07-26 16:12:54.814054, True, 26.7
2024-07-26 16:13:54.966586, True, 26.8
2024-07-26 16:14:00.029549, True, 26.8
2024-07-26 16:15:00.177042, True, 26.7
2024-07-26 16:15:05.244685, True, 26.7
2024-07-26 16:16:05.395247, True, 26.8
2024-07-26 16:16:10.458469, True, 26.8
2024-07-26 16:17:10.610767, True, 26.8
2024-07-26 16:17:15.674734, True, 26.8
2024-07-26 16:18:15.851770, True, 26.8
2024-07-26 16:18:20.913111, True, 26.8
2024-07-26 16:19:21.065841, True, 26.8
2024-07-26 16:19:26.130554, True, 26.8
2024-07-26 16:20:26.285233, True, 26.8
2024-07-26 16:20:31.351421, True, 26.8
2024-07-26 16:21:31.510465, True, 26.8
2024-07-26 16:21:36.576780, True, 26.8
2024-07-26 16:22:36.731725, True, 26.8
2024-07-26 16:22:41.792948, True, 26.8
2024-07-26 16:23:41.948470, True, 26.9
2024-07-26 16:23:47.011224, True, 26.9
2024-07-26 16:24:47.164327, True, 26.8
2024-07-26 16:24:52.253361, True, 26.8
2024-07-26 16:25:52.400237, True, 26.9
2024-07-26 16:25:57.458512, True, 26.9
2024-07-26 16:26:57.624751, True, 27.0
2024-07-26 16:27:02.685235, True, 27.0
2024-07-26 16:28:02.841473, True, 25.1
2024-07-26 16:28:08.101222, True, 25.1
2024-07-26 16:29:08.255020, True, 27.0
2024-07-26 16:29:13.318017, True, 27.0
2024-07-26 16:30:13.471107, True, 26.8
2024-07-26 16:30:18.539071, True, 26.8
2024-07-26 16:31:18.693307, True, 26.6
2024-07-26 16:31:23.756161, True, 26.6
2024-07-26 16:32:23.908812, True, 26.6
2024-07-26 16:32:28.972865, True, 26.6
2024-07-26 16:33:29.132621, True, 26.3
2024-07-26 16:33:34.201872, True, 26.3
2024-07-26 16:34:34.352454, True, 26.1
2024-07-26 16:34:39.417577, True, 26.1
2024-07-26 16:35:39.590008, True, 28.0
2024-07-26 16:35:44.648955, True, 28.0
2024-07-26 16:36:44.817981, True, 27.9
2024-07-26 16:36:49.878704, True, 27.9
2024-07-26 16:37:50.038602, True, 27.6
2024-07-26 16:37:55.098579, True, 27.6
2024-07-26 16:38:55.250253, True, 27.5
2024-07-26 16:39:00.315592, True, 27.5
2024-07-26 16:40:00.468009, True, 27.4
2024-07-26 16:40:05.529287, True, 27.4
2024-07-26 16:40:29.883967, True, 27.3
2024-07-26 16:40:34.942562, True, 27.3
2024-07-26 16:41:35.078874, True, 27.3
2024-07-26 16:41:40.139688, True, 27.3
2024-07-26 16:42:40.287735, True, 27.1
2024-07-26 16:42:45.346001, True, 27.1
2024-07-26 16:43:45.495292, True, 28.9
2024-07-26 16:43:50.557172, True, 28.9
2024-07-26 16:44:50.705141, True, 28.8
2024-07-26 16:44:55.761529, True, 28.8
2024-07-26 16:45:55.916456, True, 28.7
2024-07-26 16:46:00.972871, True, 28.6
2024-07-26 16:46:33.165563, True, 28.6
2024-07-26 16:46:38.227195, True, 28.6
2024-07-26 16:46:52.262622, True, 28.6
2024-07-26 16:46:57.324107, True, 28.6
2024-07-26 16:47:03.425126, True, 28.6
2024-07-26 16:47:08.628491, True, 28.6
2024-07-26 16:48:08.778895, True, 28.5
2024-07-26 16:48:13.972634, True, 28.5
2024-07-26 16:49:14.119262, True, 28.5
2024-07-26 16:49:19.313989, True, 28.5
2024-07-26 16:50:19.459728, True, 28.5
2024-07-26 16:50:24.654720, True, 28.5
2024-07-26 16:51:24.803546, True, 28.6
2024-07-26 16:52:26.933660, True, 28.7
2024-07-26 16:52:31.993341, True, 28.7
2024-07-26 16:53:32.149965, True, 28.8
2024-07-26 16:53:37.211036, True, 28.8
2024-07-26 16:54:37.365987, True, 29.0
2024-07-26 16:54:42.431968, True, 29.0
2024-07-26 16:55:42.615919, True, 27.2
2024-07-26 16:55:47.678311, True, 27.2
2024-07-26 16:56:47.844999, True, 27.3
2024-07-26 16:56:52.908045, True, 27.3
2024-07-26 16:57:53.066501, True, 27.3
2024-07-26 16:57:58.134118, True, 27.3
2024-07-26 16:58:58.287123, True, 27.5
2024-07-26 16:59:03.349751, True, 27.5
2024-07-26 17:00:03.513511, True, 27.6
2024-07-26 17:00:08.576742, True, 27.6
2024-07-26 17:01:08.737103, True, 27.7
2024-07-26 17:01:13.800819, True, 27.7
2024-07-26 17:02:13.954914, True, 27.7
2024-07-26 17:02:19.022966, True, 27.7
2024-07-26 17:03:19.178150, True, 27.8
2024-07-26 17:03:24.247630, True, 27.8
2024-07-26 17:04:24.403834, True, 27.9
2024-07-26 17:04:29.467591, True, 27.9
2024-07-26 17:05:29.622816, True, 27.9
2024-07-26 17:05:34.686368, True, 28.0
2024-07-26 17:06:34.837352, True, 28.0
2024-07-26 17:06:39.896841, True, 28.0
2024-07-26 17:07:40.051234, True, 28.0
2024-07-26 17:07:45.119483, True, 28.0
2024-07-26 17:08:45.280018, True, 26.1
2024-07-26 17:08:50.344765, True, 26.1
2024-07-26 17:09:50.502018, True, 28.0
2024-07-26 17:09:55.566103, True, 28.0
2024-07-26 17:10:55.714890, True, 26.1
2024-07-26 17:11:00.771848, True, 26.1
2024-07-26 17:12:00.917450, True, 26.1
2024-07-26 17:12:05.977740, True, 26.1
2024-07-26 17:13:06.130473, True, 26.2
2024-07-26 17:13:11.191662, True, 26.2
2024-07-26 17:14:11.358565, True, 26.3
2024-07-26 17:14:16.423885, True, 26.3
2024-07-26 17:15:16.581143, True, 26.3
2024-07-26 17:15:21.649475, True, 26.3
2024-07-26 17:16:21.807194, True, 26.4
2024-07-26 17:16:26.869745, True, 26.4
2024-07-26 17:17:27.022767, True, 26.4
2024-07-26 17:17:32.083508, True, 26.4
2024-07-26 17:18:32.248219, True, 26.5
2024-07-26 17:18:37.309034, True, 26.5
2024-07-26 17:19:37.463186, True, 26.5
2024-07-26 17:19:42.534167, True, 26.5
2024-07-26 17:20:42.693304, True, 26.5
2024-07-26 17:20:47.755903, True, 26.5
2024-07-26 17:21:47.909474, True, 26.5
2024-07-26 17:21:52.973911, True, 26.5
2024-07-26 17:22:53.127375, True, 26.6
2024-07-26 17:22:58.191061, True, 26.5
2024-07-26 17:23:58.341456, True, 26.6
2024-07-26 17:24:03.400912, True, 26.7
2024-07-26 17:25:03.574757, True, 26.6
2024-07-26 17:25:08.644725, True, 26.6
2024-07-26 17:26:08.816643, True, 26.6
2024-07-26 17:26:13.883972, True, 26.6
2024-07-26 17:27:14.040538, True, 26.8
2024-07-26 17:27:19.102679, True, 26.8
2024-07-26 17:28:19.261394, True, 26.8
2024-07-26 17:28:24.324340, True, 26.8
2024-07-26 17:29:24.481982, True, 26.8
2024-07-26 17:29:29.547323, True, 26.8
2024-07-26 17:30:29.705031, True, 26.8
2024-07-26 17:30:34.773361, True, 26.8
2024-07-26 17:31:34.924687, True, 26.9
2024-07-26 17:31:39.993264, True, 26.9
2024-07-26 17:32:40.146584, True, 26.9
2024-07-26 17:32:45.205609, True, 26.9
2024-07-26 17:33:45.386909, True, 27.0
2024-07-26 17:33:50.447069, True, 27.0
2024-07-26 17:34:50.601768, True, 27.0
2024-07-26 17:34:55.664981, True, 27.0
2024-07-26 17:35:55.817188, True, 27.0
2024-07-26 17:36:00.879971, True, 27.0
2024-07-26 17:37:01.029527, True, 27.0
2024-07-26 17:37:06.091560, True, 27.0
2024-07-26 17:38:06.243207, True, 27.0
2024-07-26 17:38:11.304519, True, 27.0
2024-07-26 17:39:11.468855, True, 25.2
2024-07-26 17:39:16.669903, False, 25.2
2024-07-26 17:40:16.823348, False, 25.2
2024-07-26 17:40:21.884069, False, 25.2
2024-07-26 17:41:22.043468, False, 25.2
2024-07-26 17:41:27.106372, False, 27.0
2024-07-26 17:42:27.260418, False, 27.0
2024-07-26 17:42:32.322839, False, 26.9
2024-07-26 17:43:32.477747, False, 26.7
2024-07-26 17:43:37.540726, False, 26.7
2024-07-26 17:44:37.690371, False, 26.5
2024-07-26 17:44:42.752663, False, 26.5
2024-07-26 17:45:42.903599, False, 26.3
2024-07-26 17:45:47.966164, False, 26.3
2024-07-26 17:46:48.120480, False, 26.2
2024-07-26 17:46:53.182903, False, 26.2
2024-07-26 17:47:53.341894, False, 28.0
2024-07-26 17:47:58.542218, True, 28.0
2024-07-26 17:48:58.700627, True, 27.9
2024-07-26 17:49:03.768940, True, 27.9
2024-07-26 17:50:03.921884, True, 27.7
2024-07-26 17:50:08.984577, True, 27.7
2024-07-26 17:51:09.138047, True, 27.7
2024-07-26 17:51:14.201707, True, 27.7
2024-07-26 17:52:14.351298, True, 27.8
2024-07-26 17:52:19.416455, True, 27.8
2024-07-26 17:53:19.574863, True, 27.8
2024-07-26 17:53:24.635727, True, 27.8
2024-07-26 17:54:24.789082, True, 28.0
2024-07-26 17:54:29.850296, True, 28.0
2024-07-26 17:55:30.005984, True, 28.0
2024-07-26 17:55:35.072551, True, 28.0
2024-07-26 17:56:35.206250, True, 28.0
2024-07-26 17:56:40.266552, True, 28.0
2024-07-26 17:57:40.403761, True, 26.2
2024-07-26 17:57:45.466575, True, 26.2
